Year,State Name,Indicator,total_deaths,rank_within_drug,top10_flag,national_all_drug_total,national_prev_year,national_yoy_change,national_yoy_pct,national_drug_total,ma_3yr,ma_5yr
2023,Kentucky,Natural & semi-synthetic opioids (T40.2),270.0,11,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Kentucky,Natural & semi-synthetic opioids (T40.2),204.0,12,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Maine,Natural & semi-synthetic opioids (T40.2),105.0,20,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Maine,Natural & semi-synthetic opioids (T40.2),132.0,20,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Maine,Natural & semi-synthetic opioids (T40.2),78.0,24,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Maine,Natural & semi-synthetic opioids (T40.2),55.0,29,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Maine,Natural & semi-synthetic opioids (T40.2),48.0,34,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Maine,Natural & semi-synthetic opioids (T40.2),70.0,32,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Maine,Natural & semi-synthetic opioids (T40.2),75.0,35,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Maine,Natural & semi-synthetic opioids (T40.2),82.0,36,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Maine,Natural & semi-synthetic opioids (T40.2),62.0,37,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Maine,Natural & semi-synthetic opioids (T40.2),47.0,36,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Maryland,Natural & semi-synthetic opioids (T40.2),408.0,6,1,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Maryland,Natural & semi-synthetic opioids (T40.2),694.0,2,1,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Maryland,Natural & semi-synthetic opioids (T40.2),541.0,4,1,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Maryland,Natural & semi-synthetic opioids (T40.2),437.0,5,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Maryland,Natural & semi-synthetic opioids (T40.2),439.0,5,1,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Maryland,Natural & semi-synthetic opioids (T40.2),373.0,13,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Maryland,Natural & semi-synthetic opioids (T40.2),280.0,19,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Maryland,Natural & semi-synthetic opioids (T40.2),223.0,19,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Maryland,Natural & semi-synthetic opioids (T40.2),185.0,20,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Maryland,Natural & semi-synthetic opioids (T40.2),188.0,17,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Massachusetts,Natural & semi-synthetic opioids (T40.2),217.0,16,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Massachusetts,Natural & semi-synthetic opioids (T40.2),261.0,16,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Massachusetts,Natural & semi-synthetic opioids (T40.2),240.0,17,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Massachusetts,Natural & semi-synthetic opioids (T40.2),256.0,15,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Massachusetts,Natural & semi-synthetic opioids (T40.2),232.0,21,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Massachusetts,Natural & semi-synthetic opioids (T40.2),266.0,21,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Massachusetts,Natural & semi-synthetic opioids (T40.2),200.0,24,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Massachusetts,Natural & semi-synthetic opioids (T40.2),226.0,18,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Massachusetts,Natural & semi-synthetic opioids (T40.2),152.0,24,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Massachusetts,Natural & semi-synthetic opioids (T40.2),122.0,24,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2018,Michigan,Natural & semi-synthetic opioids (T40.2),442.0,4,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2020,Michigan,Natural & semi-synthetic opioids (T40.2),386.0,12,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Michigan,Natural & semi-synthetic opioids (T40.2),415.0,11,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Michigan,Natural & semi-synthetic opioids (T40.2),293.0,14,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Michigan,Natural & semi-synthetic opioids (T40.2),230.0,15,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Michigan,Natural & semi-synthetic opioids (T40.2),227.0,9,1,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2021,Minnesota,Natural & semi-synthetic opioids (T40.2),164.0,29,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Minnesota,Natural & semi-synthetic opioids (T40.2),140.0,29,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Minnesota,Natural & semi-synthetic opioids (T40.2),97.0,30,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Minnesota,Natural & semi-synthetic opioids (T40.2),95.0,28,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2019,Mississippi,Natural & semi-synthetic opioids (T40.2),94.0,30,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Mississippi,Natural & semi-synthetic opioids (T40.2),114.0,28,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Mississippi,Natural & semi-synthetic opioids (T40.2),135.0,31,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Mississippi,Natural & semi-synthetic opioids (T40.2),89.0,35,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Mississippi,Natural & semi-synthetic opioids (T40.2),73.0,34,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Mississippi,Natural & semi-synthetic opioids (T40.2),48.0,35,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2018,Missouri,Natural & semi-synthetic opioids (T40.2),238.0,18,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Missouri,Natural & semi-synthetic opioids (T40.2),220.0,22,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Missouri,Natural & semi-synthetic opioids (T40.2),214.0,26,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Missouri,Natural & semi-synthetic opioids (T40.2),187.0,27,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Missouri,Natural & semi-synthetic opioids (T40.2),187.0,25,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Missouri,Natural & semi-synthetic opioids (T40.2),138.0,27,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Missouri,Natural & semi-synthetic opioids (T40.2),125.0,23,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2020,Montana,Natural & semi-synthetic opioids (T40.2),35.0,38,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Montana,Natural & semi-synthetic opioids (T40.2),28.0,45,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Montana,Natural & semi-synthetic opioids (T40.2),31.0,43,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Montana,Natural & semi-synthetic opioids (T40.2),26.0,43,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Montana,Natural & semi-synthetic opioids (T40.2),27.0,41,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2021,Nebraska,Natural & semi-synthetic opioids (T40.2),37.0,41,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2023,Nebraska,Natural & semi-synthetic opioids (T40.2),25.0,44,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2015,Nevada,Natural & semi-synthetic opioids (T40.2),271.0,12,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Nevada,Natural & semi-synthetic opioids (T40.2),240.0,17,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Nevada,Natural & semi-synthetic opioids (T40.2),253.0,15,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Nevada,Natural & semi-synthetic opioids (T40.2),221.0,20,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Nevada,Natural & semi-synthetic opioids (T40.2),185.0,25,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Nevada,Natural & semi-synthetic opioids (T40.2),235.0,22,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Nevada,Natural & semi-synthetic opioids (T40.2),234.0,22,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Nevada,Natural & semi-synthetic opioids (T40.2),190.0,24,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Nevada,Natural & semi-synthetic opioids (T40.2),172.0,21,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Nevada,Natural & semi-synthetic opioids (T40.2),150.0,21,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,New Hampshire,Natural & semi-synthetic opioids (T40.2),63.0,23,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,New Hampshire,Natural & semi-synthetic opioids (T40.2),68.0,24,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,New Hampshire,Natural & semi-synthetic opioids (T40.2),51.0,25,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,New Hampshire,Natural & semi-synthetic opioids (T40.2),34.0,31,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,New Hampshire,Natural & semi-synthetic opioids (T40.2),33.0,37,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,New Hampshire,Natural & semi-synthetic opioids (T40.2),29.0,39,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,New Hampshire,Natural & semi-synthetic opioids (T40.2),37.0,40,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,New Hampshire,Natural & semi-synthetic opioids (T40.2),13.0,48,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,New Hampshire,Natural & semi-synthetic opioids (T40.2),24.0,45,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,New Hampshire,Natural & semi-synthetic opioids (T40.2),17.0,45,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2018,New Jersey,Natural & semi-synthetic opioids (T40.2),411.0,7,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,New Jersey,Natural & semi-synthetic opioids (T40.2),353.0,11,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,New Jersey,Natural & semi-synthetic opioids (T40.2),331.0,15,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,New Jersey,Natural & semi-synthetic opioids (T40.2),327.0,15,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,New Jersey,Natural & semi-synthetic opioids (T40.2),250.0,16,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,New Jersey,Natural & semi-synthetic opioids (T40.2),266.0,12,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,New Jersey,Natural & semi-synthetic opioids (T40.2),190.0,16,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,New Mexico,Natural & semi-synthetic opioids (T40.2),168.0,18,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,New Mexico,Natural & semi-synthetic opioids (T40.2),158.0,19,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,New Mexico,Natural & semi-synthetic opioids (T40.2),147.0,20,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,New Mexico,Natural & semi-synthetic opioids (T40.2),133.0,25,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,New Mexico,Natural & semi-synthetic opioids (T40.2),145.0,27,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,New Mexico,Natural & semi-synthetic opioids (T40.2),160.0,27,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,New Mexico,Natural & semi-synthetic opioids (T40.2),149.0,30,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,New Mexico,Natural & semi-synthetic opioids (T40.2),97.0,33,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,New Mexico,Natural & semi-synthetic opioids (T40.2),91.0,31,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,New Mexico,Natural & semi-synthetic opioids (T40.2),63.0,33,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,New York,Natural & semi-synthetic opioids (T40.2),479.0,4,1,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,New York,Natural & semi-synthetic opioids (T40.2),586.0,5,1,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,New York,Natural & semi-synthetic opioids (T40.2),538.0,5,1,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,New York,Natural & semi-synthetic opioids (T40.2),520.0,1,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,New York,Natural & semi-synthetic opioids (T40.2),436.0,6,1,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,New York,Natural & semi-synthetic opioids (T40.2),492.0,5,1,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,New York,Natural & semi-synthetic opioids (T40.2),489.0,8,1,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,New York,Natural & semi-synthetic opioids (T40.2),442.0,8,1,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,New York,Natural & semi-synthetic opioids (T40.2),394.0,5,1,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,New York,Natural & semi-synthetic opioids (T40.2),266.0,7,1,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,New York City,Natural & semi-synthetic opioids (T40.2),223.0,15,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,New York City,Natural & semi-synthetic opioids (T40.2),324.0,13,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,New York City,Natural & semi-synthetic opioids (T40.2),300.0,12,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,New York City,Natural & semi-synthetic opioids (T40.2),261.0,14,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,New York City,Natural & semi-synthetic opioids (T40.2),280.0,16,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,New York City,Natural & semi-synthetic opioids (T40.2),463.0,6,1,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,New York City,Natural & semi-synthetic opioids (T40.2),505.0,6,1,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,New York City,Natural & semi-synthetic opioids (T40.2),468.0,4,1,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,New York City,Natural & semi-synthetic opioids (T40.2),405.0,4,1,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,New York City,Natural & semi-synthetic opioids (T40.2),196.0,13,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,North Carolina,Natural & semi-synthetic opioids (T40.2),555.0,3,1,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,North Carolina,Natural & semi-synthetic opioids (T40.2),597.0,4,1,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,North Carolina,Natural & semi-synthetic opioids (T40.2),556.0,3,1,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,North Carolina,Natural & semi-synthetic opioids (T40.2),420.0,6,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,North Carolina,Natural & semi-synthetic opioids (T40.2),340.0,13,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,North Carolina,Natural & semi-synthetic opioids (T40.2),373.0,14,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,North Carolina,Natural & semi-synthetic opioids (T40.2),463.0,9,1,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,North Carolina,Natural & semi-synthetic opioids (T40.2),459.0,7,1,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2024,North Carolina,Natural & semi-synthetic opioids (T40.2),287.0,4,1,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Ohio,Natural & semi-synthetic opioids (T40.2),693.0,1,1,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Ohio,Natural & semi-synthetic opioids (T40.2),786.0,1,1,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Ohio,Natural & semi-synthetic opioids (T40.2),857.0,1,1,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Ohio,Natural & semi-synthetic opioids (T40.2),493.0,3,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Ohio,Natural & semi-synthetic opioids (T40.2),405.0,8,1,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Ohio,Natural & semi-synthetic opioids (T40.2),440.0,7,1,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Ohio,Natural & semi-synthetic opioids (T40.2),412.0,12,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Ohio,Natural & semi-synthetic opioids (T40.2),371.0,10,1,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Ohio,Natural & semi-synthetic opioids (T40.2),329.0,9,1,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Ohio,Natural & semi-synthetic opioids (T40.2),247.0,8,1,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Oklahoma,Natural & semi-synthetic opioids (T40.2),282.0,10,1,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Oklahoma,Natural & semi-synthetic opioids (T40.2),282.0,15,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Oklahoma,Natural & semi-synthetic opioids (T40.2),230.0,18,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Oklahoma,Natural & semi-synthetic opioids (T40.2),156.0,24,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Oklahoma,Natural & semi-synthetic opioids (T40.2),108.0,29,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Oklahoma,Natural & semi-synthetic opioids (T40.2),97.0,30,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Oklahoma,Natural & semi-synthetic opioids (T40.2),108.0,33,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Oklahoma,Natural & semi-synthetic opioids (T40.2),118.0,32,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Oklahoma,Natural & semi-synthetic opioids (T40.2),109.0,29,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Oklahoma,Natural & semi-synthetic opioids (T40.2),75.0,31,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Oregon,Natural & semi-synthetic opioids (T40.2),147.0,19,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Oregon,Natural & semi-synthetic opioids (T40.2),130.0,21,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Oregon,Natural & semi-synthetic opioids (T40.2),125.0,21,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Oregon,Natural & semi-synthetic opioids (T40.2),128.0,26,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Oregon,Natural & semi-synthetic opioids (T40.2),109.0,28,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Oregon,Natural & semi-synthetic opioids (T40.2),107.0,29,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Oregon,Natural & semi-synthetic opioids (T40.2),174.0,28,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Oregon,Natural & semi-synthetic opioids (T40.2),131.0,30,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Oregon,Natural & semi-synthetic opioids (T40.2),130.0,28,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Oregon,Natural & semi-synthetic opioids (T40.2),122.0,25,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2021,Puerto Rico,Natural & semi-synthetic opioids (T40.2),26.0,46,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Puerto Rico,Natural & semi-synthetic opioids (T40.2),16.0,47,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Puerto Rico,Natural & semi-synthetic opioids (T40.2),14.0,48,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Puerto Rico,Natural & semi-synthetic opioids (T40.2),17.0,46,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,Rhode Island,Natural & semi-synthetic opioids (T40.2),104.0,21,0,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,Rhode Island,Natural & semi-synthetic opioids (T40.2),94.0,22,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,Rhode Island,Natural & semi-synthetic opioids (T40.2),79.0,23,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,Rhode Island,Natural & semi-synthetic opioids (T40.2),61.0,28,0,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,Rhode Island,Natural & semi-synthetic opioids (T40.2),41.0,35,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,Rhode Island,Natural & semi-synthetic opioids (T40.2),44.0,35,0,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,Rhode Island,Natural & semi-synthetic opioids (T40.2),40.0,39,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,Rhode Island,Natural & semi-synthetic opioids (T40.2),45.0,40,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,Rhode Island,Natural & semi-synthetic opioids (T40.2),44.0,38,0,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,Rhode Island,Natural & semi-synthetic opioids (T40.2),30.0,38,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2015,South Carolina,Natural & semi-synthetic opioids (T40.2),321.0,9,1,2718198.0,,,,12747.0,2718198.0,2718198.0
2016,South Carolina,Natural & semi-synthetic opioids (T40.2),341.0,9,1,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
2017,South Carolina,Natural & semi-synthetic opioids (T40.2),315.0,11,0,2820034.0,2749864.0,70170.0,2.55,14559.0,2762698.6666666665,2762698.6666666665
2018,South Carolina,Natural & semi-synthetic opioids (T40.2),332.0,10,1,2846305.0,2820034.0,26271.0,0.93,12620.0,2805401.0,2783600.25
2019,South Carolina,Natural & semi-synthetic opioids (T40.2),349.0,12,0,2861523.0,2846305.0,15218.0,0.53,11941.0,2842620.6666666665,2799184.8
2020,South Carolina,Natural & semi-synthetic opioids (T40.2),418.0,10,1,3390278.0,2861523.0,528755.0,18.48,13518.0,3032702.0,2933600.8
2021,South Carolina,Natural & semi-synthetic opioids (T40.2),373.0,14,0,3472120.0,3390278.0,81842.0,2.41,13674.0,3241307.0,3078052.0
2022,South Carolina,Natural & semi-synthetic opioids (T40.2),362.0,11,0,3289569.0,3472120.0,-182551.0,-5.26,11934.0,3383989.0,3171959.0
2023,South Carolina,Natural & semi-synthetic opioids (T40.2),272.0,10,1,3101016.0,3289569.0,-188553.0,-5.73,10180.0,3287568.3333333335,3222901.2
2024,South Carolina,Natural & semi-synthetic opioids (T40.2),187.0,18,0,3082466.0,3101016.0,-18550.0,-0.6,8033.0,3157683.6666666665,3267089.8
2016,South Dakota,Natural & semi-synthetic opioids (T40.2),27.0,28,0,2749864.0,2718198.0,31666.0,1.16,14534.0,2734031.0,2734031.0
